date,new_cases,new_tests,new_deaths
1/1/21,990,12103,17
2/1/21,684,9701,23
3/1/21,835,10925,27
4/1/21,910,10925,24
5/1/21,991,14462,20
6/1/21,978,15544,17
7/1/21,1007,15381,31
8/1/21,785,15381,16
9/1/21,692,12908,22
10/1/21,1071,12920,25
11/1/21,849,14097,22
12/1/21,718,14363,16
13/1/21,890,15727,14
14/1/21,813,16608,16
15/1/21,762,13678,13
16/1/21,578,12215,21
17/1/21,569,13446,23
18/1/21,697,12707,16
19/1/21,702,15097,20
20/1/21,656,15410,8
21/1/21,584,14761,16
22/1/21,619,14846,15
23/1/21,436,11115,22
24/1/21,473,14169,20
25/1/21,602,14829,18
26/1/21,515,14401,14
27/1/21,528,15720,17
28/1/21,509,14830,15
29/1/21,454,12075,7
30/1/21,363,12084,17
31/1/21,369,12225,16
1/2/21,443,12475,10
2/2/21,525,14452,12
3/2/21,438,14985,13
4/2/21,485,15273,13
5/2/21,435,15566,7
6/2/21,305,12135,8
7/2/21,292,12135,15
8/2/21,316,13762,16
9/2/21,387,14468,8
10/2/21,388,14999,10
11/2/21,378,15776,9
12/2/21,444,14328,5
13/2/21,291,12871,13
14/2/21,326,12900,8
15/2/21,446,14138,11
16/2/21,396,14788,13
17/2/21,443,16612,16
18/2/21,391,14603,15
19/2/21,406,14232,8
20/2/21,350,11148,5
21/2/21,327,14036,7
22/2/21,366,11103,7
23/2/21,399,12748,18
24/2/21,428,16152,5
25/2/21,410,15560,5
26/2/21,470,15032,11
27/2/21,407,12348,5
28/2/21,385,13411,8
1/3/21,585,13570,8
2/3/21,515,15325,7
3/3/21,614,16414,5
4/3/21,619,15985,7
5/3/21,635,13710,6
6/3/21,540,13082,10
7/3/21,606,14092,11
8/3/21,845,16958,14
9/3/21,912,17775,13
10/3/21,1018,17032,7
11/3/21,1051,18058,6
12/3/21,1066,16111,13
13/3/21,1014,16206,12
14/3/21,1159,16206,18
15/3/21,1773,18695,26
16/3/21,1719,20748,26
17/3/21,1865,24275,11
18/3/21,2187,20925,16
19/3/21,1899,18917,18
20/3/21,1868,19900,26
21/3/21,2172,21108,22
22/3/21,2809,25111,30
23/3/21,3554,25954,18
24/3/21,3567,27502,25
25/3/21,3587,27045,34
26/3/21,3737,27229,33
27/3/21,3674,27229,39
28/3/21,3908,22136,35
29/3/21,5181,28195,45
30/3/21,5042,26620,45
31/3/21,5358,26931,52
1/4/21,6469,28198,59
2/4/21,6830,29339,50
3/4/21,5683,24548,58
4/4/21,7087,30724,53
5/4/21,7075,30239,52
6/4/21,7213,34311,66
7/4/21,7626,34630,63
8/4/21,6854,33193,74
9/4/21,7462,31654,63
10/4/21,5343,26077,77
11/4/21,5819,29376,78
12/4/21,7201,34968,83
13/4/21,6028,32955,69
